,UPTD Gudang Farmasi Surabaya,Puskesmas Asemrowo Surabaya,Puskesmas Balongsari Surabaya,Puskesmas Bangkingan Surabaya,Puskesmas Benowo Surabaya,Puskesmas Jeruk Surabaya,Puskesmas Lidah Kulon Surabaya,Puskesmas Lontar Surabaya,Puskesmas Made Surabaya,Puskesmas Manukan Kulon Surabaya,Puskesmas Sememi Surabaya,Puskesmas Simomulyo Surabaya,Puskesmas Tanjungsari Surabaya
UPTD Gudang Farmasi Surabaya,0.0,10.025,12.452,12.769,17.124,14.841,14.841,12.72,15.683,14.152,17.124,9.341,11.458
Puskesmas Asemrowo Surabaya,10.025,0.0,4.086,10.341,8.743,10.29,10.29,6.8,9.012,5.999,8.743,1.206,2.916
Puskesmas Balongsari Surabaya,12.452,4.086,0.0,7.667,4.88,6.749,6.749,3.334,4.977,1.952,4.88,3.74,1.211
Puskesmas Bangkingan Surabaya,12.769,10.341,7.667,0.0,8.769,2.911,2.911,4.468,5.671,7.366,8.769,9.264,8.118
Puskesmas Benowo Surabaya,17.124,8.743,4.88,8.769,0.0,6.322,6.322,5.055,3.207,2.997,0.0,8.595,6.065
Puskesmas Jeruk Surabaya,14.841,10.29,6.749,2.911,6.322,0.0,0.0,3.509,3.115,5.748,6.322,9.418,7.582
Puskesmas Lidah Kulon Surabaya,14.841,10.29,6.749,2.911,6.322,0.0,0.0,3.509,3.115,5.748,6.322,9.418,7.582
Puskesmas Lontar Surabaya,12.72,6.8,3.334,4.468,5.055,3.509,3.509,0.0,2.964,2.951,5.055,5.988,4.079
Puskesmas Made Surabaya,15.683,9.012,4.977,5.671,3.207,3.115,3.115,2.964,0.0,3.338,3.207,8.441,6.098
Puskesmas Manukan Kulon Surabaya,14.152,5.999,1.952,7.366,2.997,5.748,5.748,2.951,3.338,0.0,2.997,5.69,3.162
Puskesmas Sememi Surabaya,17.124,8.743,4.88,8.769,0.0,6.322,6.322,5.055,3.207,2.997,0.0,8.595,6.065
Puskesmas Simomulyo Surabaya,9.341,1.206,3.74,9.264,8.595,9.418,9.418,5.988,8.441,5.69,8.595,0.0,2.535
Puskesmas Tanjungsari Surabaya,11.458,2.916,1.211,8.118,6.065,7.582,7.582,4.079,6.098,3.162,6.065,2.535,0.0
